Subject,Mode,LambdaMMD,LambdaSrc,LR,EncDim,DecDim,Dropout,MSE
S004,SDA,0.5,0.3,0.0001,128,64,0.3,0.1581636480987072
S004,SDA,0.5,0.3,0.0001,64,64,0.3,0.15987263433635235
S004,SDA,0.5,0.3,0.0001,64,128,0.3,0.17794585041701794
S004,SDA,0.5,0.3,0.0001,128,128,0.3,0.1427836213260889
S004,SDA,0.5,0.3,0.0001,256,32,0.3,0.14139365032315254
S004,SDA,0.5,0.3,0.0001,256,64,0.3,0.18732638284564018
S004,SDA,0.5,0.5,0.0001,64,64,0.3,0.1482800729572773
S004,SDA,0.5,0.3,0.0001,256,128,0.3,0.15288064070045948
S004,SDA,0.5,0.5,0.0001,128,32,0.3,0.13075746968388557
S004,SDA,0.5,0.5,0.0001,64,32,0.3,0.2063925862312317
S004,SDA,0.5,0.5,0.0001,64,128,0.3,0.16109606996178627
S004,SDA,0.5,0.5,0.0001,128,64,0.3,0.13622993789613247
S004,SDA,0.5,0.5,0.0001,256,64,0.3,0.13419674523174763
S004,SDA,0.5,0.5,0.0001,128,128,0.3,0.13775601238012314
S004,SDA,0.5,0.5,0.0001,256,128,0.3,0.14481219463050365
S004,SDA,0.5,0.5,0.0001,256,32,0.3,0.1547601716592908
S004,SDA,1.0,0.3,0.0001,64,32,0.3,0.1699113231152296
S004,SDA,1.0,0.3,0.0001,64,64,0.3,0.12168754730373621
S004,SDA,1.0,0.3,0.0001,128,32,0.3,0.13404174894094467
S004,SDA,1.0,0.3,0.0001,64,128,0.3,0.10902251489460468
S004,SDA,1.0,0.3,0.0001,128,64,0.3,0.15020840801298618
S004,SDA,1.0,0.3,0.0001,256,32,0.3,0.13585379160940647
S004,SDA,1.0,0.3,0.0001,256,128,0.3,0.12443746626377106
S004,SDA,1.0,0.3,0.0001,128,128,0.3,0.1307253483682871
S004,SDA,1.0,0.3,0.0001,256,64,0.3,0.12578468583524227
S004,SDA,1.0,0.5,0.0001,64,32,0.3,0.12037984654307365
S004,SDA,1.0,0.5,0.0001,64,64,0.3,0.1302290428429842
S004,SDA,1.0,0.5,0.0001,128,128,0.3,0.13698263093829155
S004,SDA,1.0,0.5,0.0001,128,32,0.3,0.1315652746707201
S004,SDA,1.0,0.5,0.0001,64,128,0.3,0.15952271036803722
S004,SDA,1.0,0.5,0.0001,128,64,0.3,0.10720405168831348
S004,SDA,1.0,0.5,0.0001,256,32,0.3,0.14260905236005783
S004,SDA,1.0,0.5,0.0001,256,128,0.3,0.14558786526322365
S004,SDA,1.0,0.5,0.0001,256,64,0.3,0.11985084041953087
S004,SDA,1.5,0.3,0.0001,64,32,0.3,0.17944384925067425
S004,SDA,1.5,0.3,0.0001,64,128,0.3,0.13614183105528355
S004,SDA,1.5,0.3,0.0001,64,64,0.3,0.09751449804753065
S004,SDA,1.5,0.3,0.0001,128,32,0.3,0.14502158761024475
S004,SDA,1.5,0.3,0.0001,128,64,0.3,0.12381989136338234
S004,SDA,1.5,0.3,0.0001,256,64,0.3,0.17209031246602535
S004,SDA,1.5,0.3,0.0001,256,32,0.3,0.18041378632187843
S004,SDA,1.5,0.3,0.0001,128,128,0.3,0.14211126416921616
S004,SDA,1.5,0.3,0.0001,256,128,0.3,0.13723355159163475
S004,SDA,1.5,0.5,0.0001,64,64,0.3,0.1174129955470562
S004,SDA,1.5,0.5,0.0001,64,32,0.3,0.10809105262160301
S004,SDA,1.5,0.5,0.0001,64,128,0.3,0.10777266975492239
S004,SDA,1.5,0.5,0.0001,128,32,0.3,0.12663273513317108
S004,SDA,1.5,0.5,0.0001,256,32,0.3,0.1514496197924018
S004,SDA,1.5,0.5,0.0001,128,128,0.3,0.11178930476307869
S004,SDA,1.5,0.5,0.0001,128,64,0.3,0.15040981397032738
S004,SDA,1.5,0.5,0.0001,256,64,0.3,0.13580454606562853
S004,SDA,1.5,0.5,0.0001,256,128,0.3,0.12217044364660978
S004,SDA,2.0,0.3,0.0001,64,32,0.3,0.11001325957477093
S004,SDA,2.0,0.3,0.0001,64,64,0.3,0.1658544111996889
S004,SDA,2.0,0.3,0.0001,128,32,0.3,0.15262841805815697
S004,SDA,2.0,0.3,0.0001,128,64,0.3,0.12083544675260782
S004,SDA,2.0,0.3,0.0001,64,128,0.3,0.12158385757356882
S004,SDA,2.0,0.3,0.0001,256,32,0.3,0.1695793829858303
S004,SDA,2.0,0.3,0.0001,128,128,0.3,0.13091675005853176
S004,SDA,2.0,0.3,0.0001,256,64,0.3,0.17582552880048752
S004,SDA,2.0,0.3,0.0001,256,128,0.3,0.1463920483365655
S004,SDA,2.0,0.5,0.0001,64,64,0.3,0.1292185690253973
S004,SDA,2.0,0.5,0.0001,64,32,0.3,0.10490501020103693
S004,SDA,2.0,0.5,0.0001,128,32,0.3,0.1332314144819975
S004,SDA,2.0,0.5,0.0001,64,128,0.3,0.08706870954483747
S004,SDA,2.0,0.5,0.0001,128,64,0.3,0.1315508559346199
S004,SDA,2.0,0.5,0.0001,128,128,0.3,0.13019993528723717
S004,SDA,2.0,0.5,0.0001,256,32,0.3,0.15177663136273623
S004,SDA,2.0,0.5,0.0001,256,64,0.3,0.1353848958387971
S004,SDA,2.0,0.5,0.0001,256,128,0.3,0.15523099154233932
S006,SDA,0.5,0.3,0.0001,64,64,0.3,0.03501260525081307
S006,SDA,0.5,0.3,0.0001,64,128,0.3,0.03621855686651543
S006,SDA,0.5,0.3,0.0001,64,32,0.3,0.034444734308635816
S006,SDA,0.5,0.3,0.0001,128,32,0.3,0.03288102461374365
S006,SDA,0.5,0.3,0.0001,128,64,0.3,0.030157006345689297
S006,SDA,0.5,0.3,0.0001,128,128,0.3,0.03577159461565316
S006,SDA,0.5,0.3,0.0001,256,32,0.3,0.03304903724347241
S006,SDA,0.5,0.3,0.0001,256,64,0.3,0.028082082542823628
S006,SDA,0.5,0.5,0.0001,64,128,0.3,0.035167574766092
S006,SDA,0.5,0.5,0.0001,64,64,0.3,0.029262206138810143
S006,SDA,0.5,0.3,0.0001,256,128,0.3,0.026530211325734854
S006,SDA,0.5,0.5,0.0001,128,32,0.3,0.03745773603441194
S006,SDA,0.5,0.5,0.0001,64,32,0.3,0.029688588110730052
S006,SDA,0.5,0.5,0.0001,128,64,0.3,0.029357798775890842
S006,SDA,0.5,0.5,0.0001,256,64,0.3,0.032468576420797035
S006,SDA,0.5,0.5,0.0001,128,128,0.3,0.027027580188587308
S006,SDA,0.5,0.5,0.0001,256,32,0.3,0.02904945198679343
S006,SDA,1.0,0.3,0.0001,64,64,0.3,0.040878951316699386
S006,SDA,0.5,0.5,0.0001,256,128,0.3,0.027599145629210398
S006,SDA,1.0,0.3,0.0001,64,128,0.3,0.0326362355845049
S006,SDA,1.0,0.3,0.0001,128,32,0.3,0.030857096426188946
S006,SDA,1.0,0.3,0.0001,128,64,0.3,0.028456449101213366
S006,SDA,1.0,0.3,0.0001,64,32,0.3,0.03402298176661134
S006,SDA,1.0,0.3,0.0001,128,128,0.3,0.03452065633609891
S006,SDA,1.0,0.3,0.0001,256,64,0.3,0.031194558163406327
S006,SDA,1.0,0.5,0.0001,64,32,0.3,0.03452882613055408
S006,SDA,1.0,0.3,0.0001,256,128,0.3,0.029280726157594472
S006,SDA,1.0,0.3,0.0001,256,32,0.3,0.02902740699937567
S006,SDA,1.0,0.5,0.0001,64,64,0.3,0.034686352126300335
S006,SDA,1.0,0.5,0.0001,128,32,0.3,0.031347967276815325
S006,SDA,1.0,0.5,0.0001,64,128,0.3,0.032146629644557834
S006,SDA,1.0,0.5,0.0001,128,64,0.3,0.03176766476826742
S006,SDA,1.0,0.5,0.0001,128,128,0.3,0.03330878383712843
S006,SDA,1.0,0.5,0.0001,256,32,0.3,0.03438913100399077
S006,SDA,1.0,0.5,0.0001,256,64,0.3,0.02888908435124904
S006,SDA,1.0,0.5,0.0001,256,128,0.3,0.033775115094613284
S006,SDA,1.5,0.3,0.0001,64,32,0.3,0.05095989431720227
S006,SDA,1.5,0.3,0.0001,64,128,0.3,0.0461128584574908
S006,SDA,1.5,0.3,0.0001,64,64,0.3,0.03945725015364587
S006,SDA,1.5,0.3,0.0001,128,32,0.3,0.03736258810386062
S006,SDA,1.5,0.3,0.0001,128,64,0.3,0.035283791134133935
S006,SDA,1.5,0.3,0.0001,128,128,0.3,0.04768652084749192
S006,SDA,1.5,0.3,0.0001,256,32,0.3,0.037206733191851526
S006,SDA,1.5,0.5,0.0001,64,64,0.3,0.0566960540600121
S006,SDA,1.5,0.3,0.0001,256,128,0.3,0.033195291412994266
S006,SDA,1.5,0.5,0.0001,64,32,0.3,0.035840995027683675
S006,SDA,1.5,0.3,0.0001,256,64,0.3,0.036386245919857174
S006,SDA,1.5,0.5,0.0001,128,32,0.3,0.039633186999708414
S006,SDA,1.5,0.5,0.0001,128,128,0.3,0.03371530654840171
