Subject,Mode,LambdaMMD,LambdaSrc,LR,EncDim,DecDim,Dropout,MSE
S004,SDA,0.5,0.3,0.0001,64,32,0.3,0.12750682793557644
S003,SDA,0.5,0.3,0.0001,64,32,0.3,0.0263399810064584
