Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S003,1.0,0.0001,256,32,0.3,0.03199932095594704
S003,1.0,0.0001,256,64,0.3,0.03193286806344986
S003,1.0,0.0001,256,128,0.2,0.02720602019689977
S003,1.5,0.001,64,32,0.2,0.04109693318605423
S003,1.5,0.001,64,64,0.3,0.03758473496418446
S003,1.0,0.0001,256,128,0.3,0.025598470005206764
S003,1.5,0.001,64,32,0.3,0.03813122387509793
S003,1.5,0.001,64,64,0.2,0.03901550825685263
S003,1.5,0.001,64,128,0.3,0.03152894810773432
S003,1.5,0.001,64,128,0.2,0.048370069707743824
S003,1.5,0.001,128,32,0.2,0.04547261516563594
S003,1.5,0.001,128,64,0.2,0.03754466352984309
S003,1.5,0.001,128,64,0.3,0.043469812953844666
S003,1.5,0.001,128,128,0.2,0.038880320149473846
S003,1.5,0.001,128,32,0.3,0.04313815920613706
S003,1.5,0.001,256,32,0.3,0.05207750620320439
S003,1.5,0.001,256,32,0.2,0.04601740138605237
S003,1.5,0.001,128,128,0.3,0.048492379719391465
S003,1.5,0.001,256,64,0.2,0.036485217744484544
S003,1.5,0.001,256,128,0.2,0.042879272950813174
S003,1.5,0.001,256,64,0.3,0.040448376908898354
S003,1.5,0.001,256,128,0.3,0.046793869347311556
S003,1.5,0.0001,64,32,0.3,0.044091873336583376
S003,1.5,0.0001,64,64,0.3,0.036494079511612654
S003,1.5,0.0001,64,32,0.2,0.03768350218888372
S003,1.5,0.0001,64,64,0.2,0.025931659853085876
S003,1.5,0.0001,128,32,0.2,0.03072077955584973
S003,1.5,0.0001,64,128,0.3,0.02255951939150691
S003,1.5,0.0001,128,32,0.3,0.039355352986603975
S003,1.5,0.0001,64,128,0.2,0.032567866845056415
S003,1.5,0.0001,128,128,0.2,0.031792109133675694
S003,1.5,0.0001,128,64,0.3,0.030515039106830955
S003,1.5,0.0001,128,64,0.2,0.030450213118456304
S003,1.5,0.0001,256,32,0.2,0.04124296084046364
S003,1.5,0.0001,256,64,0.2,0.030413396889343858
S003,1.5,0.0001,256,32,0.3,0.03599392529577017
S003,1.5,0.0001,256,64,0.3,0.03070592461153865
S003,2.0,0.001,64,32,0.2,0.0407863084692508
S003,1.5,0.0001,128,128,0.3,0.02826852153521031
S003,1.5,0.0001,256,128,0.3,0.02860192593652755
S003,2.0,0.001,64,32,0.3,0.04522969969548285
S003,1.5,0.0001,256,128,0.2,0.04527608794160187
S003,2.0,0.001,64,128,0.3,0.038040018174797297
S003,2.0,0.001,64,64,0.2,0.044913032092154026
S003,2.0,0.001,64,64,0.3,0.046105028595775366
S003,2.0,0.001,64,128,0.2,0.04704774892888963
S003,2.0,0.001,128,32,0.2,0.03931863256730139
S003,2.0,0.001,128,64,0.3,0.04069579811766744
S003,2.0,0.001,128,32,0.3,0.05587824294343591
S003,2.0,0.001,128,128,0.2,0.03790571028366685
S003,2.0,0.001,128,64,0.2,0.05586578603833914
S003,2.0,0.001,256,64,0.2,0.5025342628359795
S003,2.0,0.001,128,128,0.3,0.04004970099776983
S003,2.0,0.001,256,32,0.3,0.5003597885370255
S003,2.0,0.001,256,32,0.2,0.5002148821949959
S003,2.0,0.001,256,128,0.3,0.03725420590490103
S003,2.0,0.001,256,64,0.3,0.06410219985991716
S003,2.0,0.0001,64,32,0.2,0.49990592524409294
S003,2.0,0.001,256,128,0.2,0.03762664715759456
S003,2.0,0.0001,64,64,0.3,0.03819548501633108
S003,2.0,0.0001,64,64,0.2,0.031225426238961518
S003,2.0,0.0001,64,32,0.3,0.037108857883140445
S003,2.0,0.0001,64,128,0.2,0.0325589106651023
S003,2.0,0.0001,128,32,0.2,0.03307999367825687
